controller,difficulty,seed,success,collision,timeout,steps,time_s,path_m,min_range_m,progress,max_tilt_deg,motor_saturation_frac,motor_effort,decision_us
fly_heuristic_6dof,sparse,15000,True,False,False,1478,29.560000000000002,110.66825039532516,1.6230177128859997,0.9755456615899668,37.95385493302534,0.04059539918809202,517.2684320384379,100.2426038974443
fly_heuristic_6dof,sparse,15001,True,False,False,1073,21.46,85.67814269605114,2.174506156617735,0.9750816854805383,27.859049860824886,0.05591798695246971,364.588649837253,97.2179460103821
fly_heuristic_6dof,sparse,15002,True,False,False,1365,27.3,102.21726495733408,1.575381404394358,0.97571191367549,40.89749985154241,0.046886446886446886,475.6273681967371,100.58532141513948
fly_heuristic_6dof,sparse,15003,True,False,False,1261,25.22,95.37564859873044,1.7102754441918029,0.9756905453400941,40.12035565809342,0.0317208564631245,436.9135598362041,102.19133235042608
fly_heuristic_6dof,sparse,15004,True,False,False,1276,25.52,94.31000170840277,1.5901667251772575,0.9759878185336269,34.474139278825845,0.06583072100313479,451.67528732181233,101.4628163670251
fly_heuristic_6dof,sparse,15005,True,False,False,1353,27.060000000000002,99.08995108496312,1.882842987679305,0.9754342470781441,42.72242153929089,0.05617147080561715,475.40292471773927,98.90955668162543
fly_heuristic_6dof,sparse,15006,True,False,False,1709,34.18,107.69018864439865,0.935696593472966,0.9751126532571704,32.81516901622435,0.06553540081919251,606.3201048738921,100.92418818194942
fly_heuristic_6dof,sparse,15007,True,False,False,1651,33.02,119.45816315309075,1.5287845825492667,0.9751278836200433,40.10913083567965,0.043609933373712904,589.1502207717593,97.43401501102251
fly_heuristic_6dof,sparse,15008,True,False,False,948,18.96,71.59541836532574,2.6205674014224276,0.9756629182613159,35.92068621502888,0.05907172995780591,330.2126586892729,97.178734440105
fly_heuristic_6dof,sparse,15009,True,False,False,1212,24.240000000000002,91.1646319202378,1.6613413419918823,0.9755275528837999,32.536196121853166,0.052805280528052806,429.6683204817959,96.643325510026
fly_heuristic_6dof,sparse,15010,True,False,False,1882,37.64,125.6856597917821,1.6876084522445378,0.9755718476665021,47.10679088357496,0.0871413390010627,696.4659711242361,100.5992596630885
fly_heuristic_6dof,sparse,15011,True,False,False,1005,20.1,74.72283642368006,2.726096952206652,0.975628914245057,35.17484569985655,0.07562189054726368,349.28536448478536,106.64047560625015
modified_fly_6dof,sparse,15000,True,False,False,791,15.82,64.66108536101605,2.8526794619936853,0.976015181644294,28.447695855391334,0.010113780025284451,274.1425698532739,120.66824311117708
modified_fly_6dof,sparse,15001,True,False,False,830,16.6,68.46051923101108,4.461487787091971,0.9754019983789183,28.320464980520477,0.004819277108433735,283.4924469999904,126.08371336962311
modified_fly_6dof,sparse,15002,True,False,False,936,18.72,70.50499641538775,0.7356258563122009,0.9752487014224058,30.465920449841075,0.0,321.91364204911616,125.1470866219069
modified_fly_6dof,sparse,15003,True,False,False,892,17.84,69.60865095710372,1.2125486748121397,0.9750718546535351,28.351306489396617,0.004484304932735426,306.8799447252379,125.58752946522203
modified_fly_6dof,sparse,15004,True,False,False,907,18.14,74.36744466352252,4.449015500463169,0.975928617379935,28.73567280818274,0.0,308.6121632579728,127.50078340385126
modified_fly_6dof,sparse,15005,True,False,False,810,16.2,64.08444373707653,3.4154669627275007,0.9758287164506901,29.210662070120353,0.0,276.84022148289324,124.77612715865958
modified_fly_6dof,sparse,15006,True,False,False,915,18.3,70.96668029302955,1.623333978771655,0.9760890845599917,31.989459218467385,0.013114754098360656,318.43500521274245,120.92844925731356
modified_fly_6dof,sparse,15007,True,False,False,908,18.16,73.23044651423449,4.349714573971866,0.9753321365496962,28.35184123519447,0.004405286343612335,309.73122556914126,123.16722048462947
modified_fly_6dof,sparse,15008,True,False,False,814,16.28,68.13254675398902,5.778274945309795,0.9762693398048372,28.31513759401015,0.0,276.2107086658026,130.051535819018
modified_fly_6dof,sparse,15009,True,False,False,860,17.2,69.46942230588162,4.693668471915293,0.9751932876996412,29.488294381545263,0.0,296.622926651716,123.24275313551689
modified_fly_6dof,sparse,15010,True,False,False,1087,21.740000000000002,74.3287421460798,0.5614188645422815,0.9757094855813611,28.31513759401015,0.01839926402943882,369.29325159975235,123.71433930478388
modified_fly_6dof,sparse,15011,True,False,False,896,17.92,71.38038692333738,3.3940105843302266,0.976189678398756,29.567744056596243,0.004464285714285714,304.31280891261696,123.87829597823189
flywire_raw_6dof,sparse,15000,False,True,False,608,12.16,30.38455753228434,0.03894066372345052,0.21086415692023253,26.552126156053035,0.0,196.50367593490517,272.98888897731604
flywire_raw_6dof,sparse,15001,False,True,False,642,12.84,32.38022505578838,0.02230380551388929,0.2569261814154029,26.70729217070545,0.0,210.412329896313,270.17333719775263
flywire_raw_6dof,sparse,15002,False,True,False,641,12.82,33.76218565715264,0.0043355943287333885,0.27348323176607947,26.35369413195831,0.0,207.54741941928566,269.4004703376743
flywire_raw_6dof,sparse,15003,False,True,False,715,14.3,40.759387040069385,0.03219117048070897,0.38172528014807316,26.466472402931903,0.005594405594405594,229.8949403796764,275.1838264326102
flywire_raw_6dof,sparse,15004,False,True,False,555,11.1,23.116869620142783,0.023809440556923103,-0.009939474337295584,21.377679684724903,0.0,180.4746992301937,270.1816998301543
flywire_raw_6dof,sparse,15005,False,True,False,1094,21.88,73.23169069077096,0.018430488417097955,0.8040093914759312,26.460470689730673,0.0,353.16291308708327,292.2765380808281
flywire_raw_6dof,sparse,15006,False,True,False,687,13.74,42.99160898992751,0.032847665668637366,0.4564541616338398,26.751915987960217,0.0,226.66065802547914,284.3886955646625
flywire_raw_6dof,sparse,15007,False,True,False,551,11.02,23.155907164162098,0.025061627310430164,-0.006686567009254407,26.087962576066733,0.014519056261343012,177.6542275208542,294.8012720941957
flywire_raw_6dof,sparse,15008,False,True,False,1097,21.94,71.79376564136045,0.010309751159430882,0.6936694570473965,26.751915987960217,0.0,361.07637135719426,257.51686295155775
flywire_raw_6dof,sparse,15009,False,True,False,705,14.1,25.900701585637158,0.010168597859819908,0.04775348853265582,22.990054263363366,0.005673758865248227,227.11908567383375,278.043405792155
flywire_raw_6dof,sparse,15010,False,True,False,639,12.780000000000001,32.38824231989259,0.027211267035118294,0.22151204860348173,26.751915987960217,0.0,209.59530862613005,276.58674771373626
flywire_raw_6dof,sparse,15011,False,True,False,1115,22.3,75.14757204607153,0.030303925613330722,0.8163178242294576,26.751915987960217,0.0,360.8806220964155,263.6943145164399
