controller,difficulty,seed,success,collision,timeout,steps,time_s,path_m,min_range_m,progress,decision_us
fly_heuristic_3d,sparse,12000,False,False,True,850,68.0,254.52178355409882,2.144056938845011,0.9035265396559881,84.06095905229449
fly_heuristic_3d,sparse,12001,True,False,False,235,18.8,78.45618833569644,2.102213695747908,0.9762757933515321,90.11166477377745
fly_heuristic_3d,sparse,12002,True,False,False,198,15.84,70.1745979828029,3.596501707567758,0.9785571405207081,86.19812874575004
fly_heuristic_3d,sparse,12003,True,False,False,259,20.72,80.95274868886345,4.0119441224320305,0.9762689248172364,82.87181215662811
fly_heuristic_3d,sparse,12004,False,False,True,850,68.0,251.6965461852477,1.9139489871255584,0.9333135784200556,82.95842508018455
fly_heuristic_3d,sparse,12005,True,False,False,239,19.12,80.11861266763408,2.1404605457923407,0.9784336440217644,81.7930724308144
fly_heuristic_3d,sparse,12006,True,False,False,219,17.52,75.24516986235373,3.3050702304957804,0.9760059310650072,83.59273229023978
fly_heuristic_3d,sparse,12007,True,False,False,317,25.36,99.7722238794396,1.711559947271783,0.97541157603314,92.633744468178
fly_heuristic_3d,sparse,12008,False,False,True,850,68.0,250.29888050589932,0.8952118506389524,0.9028078254035125,87.79776220976868
fly_heuristic_3d,sparse,12009,True,False,False,221,17.68,74.94511931853987,3.019684641978643,0.9771159892870371,86.31206372525223
fly_heuristic_3d,sparse,12010,False,False,True,850,68.0,255.09198630059285,1.4349621836317028,0.9048050889125456,86.31726528298768
fly_heuristic_3d,sparse,12011,True,False,False,222,17.76,74.29360410797365,3.0590966712568104,0.9756155731431685,93.3330301048553
fly_heuristic_3d,sparse,12012,False,False,True,850,68.0,246.35419742510464,1.8920473623928884,0.9353271114215873,86.31396771627752
fly_heuristic_3d,sparse,12013,True,False,False,245,19.6,81.37671983797276,2.9535552521974404,0.9772477356284385,88.77957933487333
fly_heuristic_3d,sparse,12014,True,False,False,223,17.84,78.57210677322817,2.5855519503897,0.9762115240546643,84.97597710250338
fly_heuristic_3d,sparse,12015,True,False,False,223,17.84,76.95324366514886,2.226269573779588,0.9805750780579362,91.39547371952857
modified_fly_3d,sparse,12000,True,False,False,235,18.8,78.64175457649606,2.78762600160674,0.9751288581019859,115.64792465775254
modified_fly_3d,sparse,12001,True,False,False,216,17.28,77.00903238231544,4.259491182607703,0.9752440094029946,114.81641774514208
modified_fly_3d,sparse,12002,True,False,False,604,48.32,194.57061956169002,4.180383373911555,0.9757862394253832,109.82714015188695
modified_fly_3d,sparse,12003,True,False,False,219,17.52,74.10037793113204,4.434731233598892,0.9756700420707257,110.21278896390304
modified_fly_3d,sparse,12004,True,False,False,227,18.16,80.22069711929439,4.202884826927166,0.9754746198015722,104.45681251872675
modified_fly_3d,sparse,12005,True,False,False,197,15.76,72.62286183080944,2.8919425173740247,0.9788189137702968,95.91123745138496
modified_fly_3d,sparse,12006,True,False,False,211,16.88,74.71105987707462,3.711799746695133,0.9761358368697169,99.66343591625304
modified_fly_3d,sparse,12007,True,False,False,223,17.84,79.11515425765708,2.968262482526747,0.9764931895495962,104.35042757699642
modified_fly_3d,sparse,12008,False,False,True,850,68.0,281.4250380515938,2.55538290253349,0.8670576629515163,100.18626207431011
modified_fly_3d,sparse,12009,True,False,False,417,33.36,136.94299958957257,3.430473249283534,0.9772164039360074,99.82944541550476
modified_fly_3d,sparse,12010,False,False,True,850,68.0,282.52685343582533,4.03031645694919,0.8906758875741079,104.33895349064294
modified_fly_3d,sparse,12011,True,False,False,219,17.52,74.88153921552889,4.761333838850559,0.9757121378304809,94.99101279745703
modified_fly_3d,sparse,12012,True,False,False,274,21.92,88.72198103513364,3.6263744479411932,0.9751508254185793,99.30577621129035
