rank,node_index,root_id,type,side,gate,is_input,is_output
1,237,720575940627645514,DNp03,left,1.0,False,True
2,231,720575940626916936,LC4,left,0.9992179870605469,True,False
3,371,720575940649229433,LC4,left,0.9952373504638672,True,False
4,123,720575940619397542,LC4,left,0.9089308977127075,True,False
5,353,720575940641216976,LPLC4,left,0.895269513130188,False,False
6,140,720575940620729816,LPLC4,left,0.877670407295227,False,False
7,248,720575940628462340,LC4,left,0.847618818283081,True,False
8,349,720575940640612480,LC4,left,0.8132306933403015,True,False
9,75,720575940615575007,LC4,left,0.7414170503616333,True,False
10,217,720575940626375172,LPLC2,left,0.7375131249427795,True,False
11,144,720575940620813989,LTe20,left,0.7306238412857056,False,False
12,61,720575940614572742,LC4,left,0.6667170524597168,True,False
13,332,720575940638456227,LC4,left,0.6101800799369812,True,False
14,280,720575940630998339,LC4,left,0.6003807187080383,True,False
15,345,720575940640172221,CL323a,left,0.5981770157814026,False,False
16,346,720575940640302389,LPLC2,left,0.5980595946311951,True,False
17,74,720575940615528678,PVLP024,right,0.5804906487464905,False,False
18,205,720575940625697772,LPLC2,left,0.5718681216239929,True,False
19,308,720575940634223514,LPLC4,left,0.5472754240036011,False,False
20,171,720575940623003653,LPLC4,left,0.51943439245224,False,False
21,90,720575940617176321,LC4,left,0.48246127367019653,True,False
22,230,720575940626886568,LPLC4,left,0.47303542494773865,False,False
23,366,720575940646414132,LPLC4,left,0.4659428596496582,False,False
24,266,720575940629368015,LPLC2,left,0.4523538053035736,True,False
25,109,720575940618608177,LPLC2,left,0.44127100706100464,True,False
26,284,720575940631338271,LC4,left,0.4290025234222412,True,False
27,279,720575940630851036,LC4,left,0.42811915278434753,True,False
28,35,720575940612518055,LC4,left,0.4201290011405945,True,False
29,204,720575940625695269,LPLC2,left,0.41731005907058716,True,False
30,277,720575940630731847,LPLC2,left,0.4150817096233368,True,False
31,8,720575940607845250,LPLC2,left,0.40946269035339355,True,False
32,158,720575940622009284,LPLC2,left,0.4057672917842865,True,False
33,169,720575940622939836,LC4,left,0.3878319561481476,True,False
34,110,720575940618676440,LC4,left,0.3870126008987427,True,False
35,262,720575940628976956,LPLC2,left,0.3454679250717163,True,False
36,301,720575940633176749,LPLC4,left,0.3428167998790741,False,False
37,167,720575940622680088,LPLC2,left,0.2942993938922882,True,False
38,4,720575940606126438,LPLC2,left,0.2832065224647522,True,False
39,29,720575940612096462,LPLC2,left,0.2461872547864914,True,False
40,375,720575940655750305,LPLC2,left,0.2359376698732376,True,False
41,65,720575940614914107,LC4,left,0.22572661936283112,True,False
42,72,720575940615332502,LPLC2,left,0.21558748185634613,True,False
43,317,720575940635497311,LPLC4,left,0.1702733188867569,False,False
44,224,720575940626605200,LC4,left,0.16614599525928497,True,False
45,22,720575940611134833,LC4,left,0.1575389802455902,True,False
46,214,720575940625991043,LC4,left,0.1422821283340454,True,False
47,285,720575940631380695,LPLC2,left,0.14198338985443115,True,False
48,291,720575940632129848,LPLC2,left,0.13455873727798462,True,False
49,149,720575940621259875,LPLC4,left,0.13341909646987915,False,False
50,44,720575940613219474,LPLC2,left,0.12237224727869034,True,False
51,133,720575940620139678,LPLC2,left,0.1122598797082901,True,False
52,47,720575940613260959,LC4,left,0.10162247717380524,True,False
53,48,720575940613470947,LPLC2,left,0.09732795506715775,True,False
54,16,720575940610522009,LC4,left,0.09705658257007599,True,False
55,89,720575940617026260,LC4,left,0.09074573963880539,True,False
56,226,720575940626626895,LC4,left,0.08682173490524292,True,False
57,126,720575940619655685,LPLC4,left,0.08149217814207077,False,False
58,292,720575940632381536,PVLP024,right,0.07153575867414474,False,False
59,347,720575940640353333,LPLC4,left,0.06951220333576202,False,False
60,138,720575940620375796,LPLC4,left,0.06923680007457733,False,False
61,114,720575940618807105,LC4,left,0.0685679242014885,True,False
62,151,720575940621514093,LPLC4,left,0.06610895693302155,False,False
63,368,720575940647369507,LPLC2,left,0.06392811238765717,True,False
64,261,720575940628921303,LPLC2,left,0.06281039863824844,True,False
65,201,720575940625216202,LPLC2,left,0.06155518814921379,True,False
66,69,720575940615127227,LC4,left,0.05421523004770279,True,False
67,181,720575940623961747,LPLC4,left,0.053292542695999146,False,False
68,342,720575940639878352,LPLC2,left,0.05135439336299896,True,False
69,211,720575940625925450,LPLC4,left,0.049952153116464615,False,False
70,73,720575940615462587,LC4,left,0.04845745861530304,True,False
71,321,720575940636295019,LPLC2,left,0.04808903485536575,True,False
72,234,720575940627471619,LPLC4,left,0.04572281613945961,False,False
73,352,720575940641213824,LC4,right,0.039878446608781815,True,False
74,218,720575940626384200,LPLC2,left,0.037906233221292496,True,False
75,339,720575940639109795,LPLC2,left,0.037626348435878754,True,False
76,255,720575940628699560,LC4,left,0.03489328920841217,True,False
77,120,720575940619197318,LPLC2,left,0.031775496900081635,True,False
78,119,720575940619159233,LPLC4,left,0.030597461387515068,False,False
79,156,720575940621759169,LPLC4,left,0.030211903154850006,False,False
80,232,720575940627149514,LPLC4,left,0.02877073362469673,False,False
81,57,720575940614209576,LPLC4,left,0.028744323179125786,False,False
82,113,720575940618723749,LC4,left,0.028160208836197853,True,False
83,49,720575940613491826,LPLC4,left,0.026675110682845116,False,False
84,82,720575940616083345,LPLC2,left,0.02497195266187191,True,False
85,96,720575940617687382,LPLC4,left,0.023991087451577187,False,False
86,250,720575940628523113,LPLC4,left,0.021003086119890213,False,False
87,362,720575940645336100,LPLC4,left,0.020839251577854156,False,False
88,221,720575940626435850,LPLC4,left,0.020744523033499718,False,False
89,337,720575940638910040,PVLP151,right,0.019913166761398315,False,False
90,59,720575940614492397,PVLP151,right,0.01988387294113636,False,False
91,220,720575940626414279,LPLC2,left,0.01985018700361252,True,False
92,322,720575940636418740,LPLC4,left,0.01964389532804489,False,False
93,191,720575940624531652,LPLC2,left,0.019029701128602028,True,False
94,26,720575940611821334,LPLC2,left,0.01880001090466976,True,False
95,175,720575940623551684,LPLC2,left,0.018229128792881966,True,False
96,311,720575940634839964,LPLC4,left,0.018099050968885422,False,False
97,166,720575940622560094,LPLC4,left,0.018035568296909332,False,False
98,200,720575940625038090,LC4,left,0.017576660960912704,True,False
99,372,720575940652611745,LC4,right,0.017281297594308853,True,False
100,19,720575940610738898,PS181,left,0.01691274903714657,False,False
101,180,720575940623945194,LPLC4,left,0.015554983168840408,False,False
102,185,720575940624111763,LC4,left,0.01478244923055172,True,False
