controller,difficulty,seed,success,collision,timeout,steps,time_s,path_m,min_clearance_m,progress,decision_us
fly_connectome,sparse,7000,False,False,True,650,52.0,158.68692108359608,1.1271607797960699,0.801176859369523,61.56400034132485
fly_connectome,sparse,7001,True,False,False,371,29.68,92.20534608599726,1.9881780850341708,0.9798719081652868,61.0870624217142
fly_connectome,sparse,7002,True,False,False,390,31.2,102.51035696692705,2.779152994641755,0.9815584386820194,60.82743616738858
fly_connectome,sparse,7003,True,False,False,291,23.28,64.544346287609,3.3169779011418985,0.9777079277714742,60.1268043986416
fly_connectome,sparse,7004,False,False,True,650,52.0,172.98172512562576,1.7587456711566474,0.8821762293676217,60.58277029436655
fly_connectome,sparse,7005,True,False,False,301,24.080000000000002,68.81545084689905,3.08177900418179,0.9782739569538498,60.299335804108864
fly_connectome,sparse,7006,False,False,True,650,52.0,174.84365733828832,5.373517895261727,0.8729051828732128,61.848769188285445
fly_connectome,sparse,7007,True,False,False,232,18.56,58.75800391399485,4.5664067980062235,0.9788538128035809,60.12931006462795
fly_connectome,sparse,7008,True,False,False,287,22.96,70.58454462916075,3.701484802174208,0.9769843183822279,60.92473793976035
fly_connectome,sparse,7009,False,False,True,650,52.0,133.17674302490906,0.8832408058960679,0.9017480191977123,61.79446130632781
fly_connectome,sparse,7010,True,False,False,360,28.8,79.42080721657966,0.5511027506123054,0.9771835863589584,60.379999194992706
fly_connectome,sparse,7011,True,False,False,304,24.32,69.51740100616726,1.2991817042913105,0.976930783828761,59.73486737562589
fly_connectome,sparse,7012,False,False,True,650,52.0,159.49341226275834,2.955557879602559,0.4371366099812335,60.732461637459124
fly_connectome,sparse,7013,False,False,True,650,52.0,174.52335188875716,5.017420937372358,0.8553353792938204,60.9086155712318
fly_connectome,sparse,7014,True,False,False,463,37.04,109.81239920364821,1.2530519526364658,0.9819788011734766,60.7630670534298
fly_connectome,sparse,7015,True,False,False,286,22.88,67.96232129125985,1.1438460642221837,0.9763935230740969,65.00734258491963
fly_connectome,sparse,7016,True,False,False,378,30.240000000000002,84.96004159013216,1.5067834300683347,0.9784925643196193,61.13148092048331
fly_connectome,sparse,7017,True,False,False,326,26.080000000000002,77.3232577366843,3.374650049773382,0.977081850444505,61.34815830480239
fly_connectome,sparse,7018,True,False,False,280,22.400000000000002,60.513747428620505,1.8649176092420359,0.9761465376563793,60.58178592606315
fly_connectome,sparse,7019,False,False,True,650,52.0,156.76135052313788,0.686305745735275,0.8607179573339011,61.27030749876912
fly_connectome,sparse,7020,False,False,True,650,52.0,159.91004443267127,1.9261591388941315,0.9238797398813429,59.730614839981385
fly_connectome,sparse,7021,False,False,True,650,52.0,172.73178301802886,4.4388004178216205,0.9092838829263808,60.15184586151288
fly_connectome,sparse,7022,True,False,False,319,25.52,73.94931877740089,0.92596207405369,0.9784725785994068,59.47492152180955
fly_connectome,sparse,7023,True,False,False,378,30.240000000000002,85.24113677418482,4.191574389216718,0.9776249321738134,60.13386212991521
fly_connectome,sparse,7024,False,False,True,650,52.0,150.39734041676107,0.8397282567066763,0.9043781331756688,60.45230749385575
fly_connectome,sparse,7025,True,False,False,356,28.48,76.91610302398941,2.1939632329773,0.9793915768334188,59.69915619470556
fly_connectome,sparse,7026,True,False,False,398,31.84,92.20902140163756,0.9020067248306818,0.9777152237065168,61.19371823271521
fly_connectome,sparse,7027,True,False,False,254,20.32,60.09281509746624,4.169611792407006,0.9785693511248587,59.973621533772956
fly_connectome,sparse,7028,False,False,True,650,52.0,157.86806120628887,2.5060176844406734,0.11377125205781469,60.36646104453561
fly_connectome,sparse,7029,True,False,False,357,28.560000000000002,84.04795141375689,0.4464308148010834,0.979348067165426,60.03193278452616
modified_fly,sparse,7000,True,False,False,196,15.68,55.25597233951012,3.201316273472264,0.9786861320497384,63.63877497390103
modified_fly,sparse,7001,True,False,False,246,19.68,69.93571636981612,2.792085456651311,0.976864400527918,64.09065004786461
modified_fly,sparse,7002,False,False,True,650,52.0,191.3873000869855,3.126589720500805,0.886319330792691,63.90630764564356
modified_fly,sparse,7003,True,False,False,361,28.88,96.74876833161869,0.600554068307743,0.9762493764596306,64.02299055440088
modified_fly,sparse,7004,True,False,False,183,14.64,53.65983834420019,6.821875381824686,0.9772607054466182,63.20218595706659
modified_fly,sparse,7005,True,False,False,220,17.6,63.248959450433105,2.474450134379997,0.9800278816280015,63.27181842855432
